Window Sizes,Accuracy,AUC,Specificity,Sensitivity,MCC
"[9, 11, 13]",0.9576 ,0.9736 ,0.9153 ,1.0000 ,0.9186 
"[5, 7]",0.8644 ,0.9716 ,0.7288 ,1.0000 ,0.7572 
"[5, 7, 9, 11]",0.9492 ,0.9744 ,0.8983 ,1.0000 ,0.9030 
"[3, 5, 7, 9, 11]",0.9237 ,0.9739 ,0.8475 ,1.0000 ,0.8575 
"[3, 5, 7, 9, 11, 13]",0.9407 ,0.9767 ,0.8814 ,1.0000 ,0.8876 
"[3, 5, 7, 9, 11, 13, 15]",0.9576 ,0.9776 ,0.9153 ,1.0000 ,0.9186 
"[3, 5, 7, 9, 11, 13, 15, 17]",0.9492 ,0.9796 ,0.8983 ,1.0000 ,0.9030 
"[2, 4]",0.8898 ,0.9655 ,0.7797 ,1.0000 ,0.7993 
"[2, 4, 8]",0.8729 ,0.9739 ,0.7458 ,1.0000 ,0.7711 
"[2, 4, 8, 16]",0.8983 ,0.9779 ,0.9492 ,0.8475 ,0.8008 
"[2, 4, 8, 16, 32]",0.9492 ,0.9785 ,0.8983 ,1.0000 ,0.9030 
